C# Variable,C# Id,C# Value,Db Variable,SNOMED Code,Code Description
Asthma,7557,1,_asthma,12428000,Intrinsic asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,13151001,Flax-dressers' disease (disorder)
Asthma,7557,1,_asthma,31387002,Exercise-induced asthma (disorder)
Asthma,7557,1,_asthma,41553006,Detergent asthma (disorder)
Asthma,7557,1,_asthma,56968009,Asthma caused by wood dust (disorder)
Asthma,7557,1,_asthma,56968009,Wood asthma (disorder)
Asthma,7557,1,_asthma,57607007,Occupational asthma (disorder)
Asthma,7557,1,_asthma,63088003,Allergic asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,63088003,Extrinsic asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,85761009,Byssinosis (disorder)
Asthma,7557,1,_asthma,195949008,Chronic asthmatic bronchitis (disorder)
Asthma,7557,1,_asthma,195967001,Asthma (disorder)
Asthma,7557,1,_asthma,195977004,Mixed asthma (disorder)
Asthma,7557,1,_asthma,225057002,Brittle asthma (disorder)
Asthma,7557,1,_asthma,233678006,Childhood asthma (disorder)
Asthma,7557,1,_asthma,233679003,Late onset asthma (disorder)
Asthma,7557,1,_asthma,233683003,Hay fever with asthma (disorder)
Asthma,7557,1,_asthma,266361008,Non-allergic asthma (disorder)
Asthma,7557,1,_asthma,312453004,Asthma - currently active (finding)
Asthma,7557,1,_asthma,370220003,Occasional asthma (disorder)
Asthma,7557,1,_asthma,370220003,Occasional asthma (finding)
Asthma,7557,1,_asthma,370221004,Severe asthma (disorder)
Asthma,7557,1,_asthma,370221004,Severe asthma (finding)
Asthma,7557,1,_asthma,389145006,Allergic asthma (disorder)
Asthma,7557,1,_asthma,401193004,Asthma confirmed (context-dependent category)
Asthma,7557,1,_asthma,401193004,Asthma confirmed (situation)
Asthma,7557,1,_asthma,405720007,Allergic bronchitis (disorder)
Asthma,7557,1,_asthma,405944004,Asthmatic bronchitis (disorder)
Asthma,7557,1,_asthma,407674008,Aspirin-induced asthma (disorder)
Asthma,7557,1,_asthma,424643009,IgE-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,424643009,Immunoglobulin E-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,708038006,Acute exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,708090002,Acute severe exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,708093000,Acute exacerbation of extrinsic asthma (disorder)
Asthma,7557,1,_asthma,708093000,Acute exacerbation of immunoglobulin E-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,708094006,Acute exacerbation of intrinsic asthma (disorder)
Asthma,7557,1,_asthma,734904007,Life threatening acute exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,866881000000101,Chronic asthma with fixed airflow obstruction
Asthma,7557,1,_asthma,866881000000101,Chronic asthma with fixed airflow obstruction (disorder)
Asthma,7557,1,_asthma,955631000006100,Occupational asthma
Asthma,7557,1,_asthma,1086701000000102,Life threatening acute exacerbation of allergic asthma
Asthma,7557,1,_asthma,1086701000000102,Life threatening acute exacerbation of allergic asthma (disorder)
Asthma,7557,1,_asthma,1086701000000102,Life threatening acute exacerbation of extrinsic asthma
Asthma,7557,1,_asthma,1086711000000100,Life threatening acute exacerbation of intrinsic asthma
Asthma,7557,1,_asthma,1086711000000100,Life threatening acute exacerbation of intrinsic asthma (disorder)
Asthma,7557,1,_asthma,1086711000000100,Life threatening acute exacerbation of non-allergic asthma
Asthma,7557,1,_asthma,2010031000006100,Acute infective exacerbation of asthma
Asthma,7557,1,_asthma,2010041000006105,Acute non-infective exacerbation of asthma
AtrialFibrillation,24,1,_AF,49436004,Atrial fibrillation (disorder)
AtrialFibrillation,24,1,_AF,195080001,Atrial fibrillation and flutter (disorder)
AtrialFibrillation,24,1,_AF,233911009,Non-rheumatic atrial fibrillation (disorder)
AtrialFibrillation,24,1,_AF,282825002,Paroxysmal atrial fibrillation (disorder)
AtrialFibrillation,24,1,_AF,426749004,Chronic atrial fibrillation (disorder)
AtrialFibrillation,24,1,_AF,427665004,Paroxysmal atrial flutter (disorder)
AtrialFibrillation,24,1,_AF,440028005,Permanent atrial fibrillation (disorder)
AtrialFibrillation,24,1,_AF,440059007,Persistent atrial fibrillation (disorder)
AtrialFibrillation,24,1,_AF,720448006,Typical atrial flutter (disorder)
AtrialFibrillation,24,1,_AF,15964901000119107,Atypical atrial flutter (disorder)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,14317002,"Acute myeloid leukemia, M6 type (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,17788007,"Acute myeloid leukemia, no ICD-O subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,17788007,"Acute myeloid leukemia, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,22197008,Burkitt cell leukemia (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,22331004,"Acute monocytic leukemia, morphology (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,24072005,"Acute leukemia, morphology, including blast cell OR undifferentiated leukemia (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,28950004,Acute promyelocytic leukemia (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,28950004,"Acute promyelocytic leukemia, t(15;17)(q22;q11-12) (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,30962008,Acute myelomonocytic leukemia (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,32280000,"Lymphoid leukemia, no ICD-O subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,32280000,"Lymphoid leukemia, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,35287006,"Myeloid sarcoma, morphology (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,37810007,"Myeloid leukemia, morphology (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,37810007,"Myeloid leukemia, no ICD-O subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,37810007,"Myeloid leukemia, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,51092000,B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,51092000,"Chronic lymphocytic leukemia, morphology (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,52220008,"Acute megakaryoblastic leukemia, morphology (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,54087003,Hairy cell leukemia (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,55342001,Neoplastic disease (disorder)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,63364005,"Chronic myelogenous leukemia, no ICD-O subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,63364005,"Chronic myelogenous leukemia, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,65399007,Langerhans cell histiocytosis (disorder)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,69077002,Acute basophilic leukemia (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,77430005,Adult T-cell leukemia/lymphoma (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,80570006,Acute panmyelosis with myelofibrosis (morphologic abnormality)
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,87163000,"Leukemia, morphology (morphologic abnormality)"
CancerOfBloodOrBoneMarrow,58,1,_bloodcancer,87163000,"Leukemia, no ICD-O subtype (morphologic abnormality)"
