C# Variable,C# Id,C# Value,Db Variable,SNOMED Code,Code Description
Asthma,7557,1,_asthma,11641008,Millers' asthma (disorder)
Asthma,7557,1,_asthma,12428000,Intrinsic asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,13151001,Flax-dressers' disease (disorder)
Asthma,7557,1,_asthma,18041002,Printers' asthma (disorder)
Asthma,7557,1,_asthma,19849005,Meat-wrappers' asthma (disorder)
Asthma,7557,1,_asthma,31387002,Exercise-induced asthma (disorder)
Asthma,7557,1,_asthma,34015007,Bakers' asthma (disorder)
Asthma,7557,1,_asthma,37981002,Allergic bronchopulmonary aspergillosis (disorder)
Asthma,7557,1,_asthma,41553006,Detergent asthma (disorder)
Asthma,7557,1,_asthma,55570000,Asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,56968009,Asthma caused by wood dust (disorder)
Asthma,7557,1,_asthma,56968009,Wood asthma (disorder)
Asthma,7557,1,_asthma,57546000,Asthma with status asthmaticus (disorder)
Asthma,7557,1,_asthma,57607007,Occupational asthma (disorder)
Asthma,7557,1,_asthma,59327009,Intrinsic asthma with status asthmaticus (disorder)
Asthma,7557,1,_asthma,59786004,Weavers' cough (disorder)
Asthma,7557,1,_asthma,63088003,Allergic asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,63088003,Extrinsic asthma without status asthmaticus (disorder)
Asthma,7557,1,_asthma,67415000,Hay asthma (disorder)
Asthma,7557,1,_asthma,85761009,Byssinosis (disorder)
Asthma,7557,1,_asthma,89099002,Chronic allergic bronchitis (disorder)
Asthma,7557,1,_asthma,91340006,Extrinsic asthma with status asthmaticus (disorder)
Asthma,7557,1,_asthma,92807009,Chemical-induced asthma (disorder)
Asthma,7557,1,_asthma,93432008,Drug-induced asthma (disorder)
Asthma,7557,1,_asthma,195949008,Chronic asthmatic bronchitis (disorder)
Asthma,7557,1,_asthma,195967001,Asthma (disorder)
Asthma,7557,1,_asthma,195977004,Mixed asthma (disorder)
Asthma,7557,1,_asthma,225057002,Brittle asthma (disorder)
Asthma,7557,1,_asthma,232430006,Recurrent allergic croup (disorder)
Asthma,7557,1,_asthma,233672007,Byssinosis grade 3 (disorder)
Asthma,7557,1,_asthma,233678006,Childhood asthma (disorder)
Asthma,7557,1,_asthma,233679003,Late onset asthma (disorder)
Asthma,7557,1,_asthma,233681001,Extrinsic asthma with asthma attack (disorder)
Asthma,7557,1,_asthma,233682008,Allergic asthma NEC (disorder)
Asthma,7557,1,_asthma,233683003,Hay fever with asthma (disorder)
Asthma,7557,1,_asthma,233685005,Intrinsic asthma with asthma attack (disorder)
Asthma,7557,1,_asthma,233686006,Aspirin-sensitive asthma with nasal polyps (disorder)
Asthma,7557,1,_asthma,233687002,Colophony asthma (disorder)
Asthma,7557,1,_asthma,233688007,Sulfite-induced asthma (disorder)
Asthma,7557,1,_asthma,233689004,Mill fever (disorder)
Asthma,7557,1,_asthma,266361008,Non-allergic asthma (disorder)
Asthma,7557,1,_asthma,266364000,Asthma attack (disorder)
Asthma,7557,1,_asthma,281239006,Exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,304527002,Acute asthma (disorder)
Asthma,7557,1,_asthma,312453004,Asthma - currently active (finding)
Asthma,7557,1,_asthma,370218001,Mild asthma (disorder)
Asthma,7557,1,_asthma,370218001,Mild asthma (finding)
Asthma,7557,1,_asthma,370219009,Moderate asthma (disorder)
Asthma,7557,1,_asthma,370219009,Moderate asthma (finding)
Asthma,7557,1,_asthma,370220003,Occasional asthma (disorder)
Asthma,7557,1,_asthma,370220003,Occasional asthma (finding)
Asthma,7557,1,_asthma,370221004,Severe asthma (disorder)
Asthma,7557,1,_asthma,370221004,Severe asthma (finding)
Asthma,7557,1,_asthma,389145006,Allergic asthma (disorder)
Asthma,7557,1,_asthma,389146007,Extrinsic asthma (disorder)
Asthma,7557,1,_asthma,401193004,Asthma confirmed (context-dependent category)
Asthma,7557,1,_asthma,401193004,Asthma confirmed (situation)
Asthma,7557,1,_asthma,404804003,Platinum asthma (disorder)
Asthma,7557,1,_asthma,404806001,Cheese-makers' asthma (disorder)
Asthma,7557,1,_asthma,404808000,Isocyanate induced asthma (disorder)
Asthma,7557,1,_asthma,405720007,Allergic bronchitis (disorder)
Asthma,7557,1,_asthma,405944004,Asthmatic bronchitis (disorder)
Asthma,7557,1,_asthma,407674008,Aspirin-induced asthma (disorder)
Asthma,7557,1,_asthma,409663006,Cough variant asthma (disorder)
Asthma,7557,1,_asthma,416601004,Work aggravated asthma (disorder)
Asthma,7557,1,_asthma,418395004,Tea-makers' asthma (disorder)
Asthma,7557,1,_asthma,423889005,Non-IgE mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,423889005,Non-immunoglobulin E mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,424199006,Substance induced asthma (disorder)
Asthma,7557,1,_asthma,424643009,IgE-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,424643009,Immunoglobulin E-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,425969006,Exacerbation of intermittent asthma (disorder)
Asthma,7557,1,_asthma,426656000,Severe persistent asthma (disorder)
Asthma,7557,1,_asthma,426979002,Mild persistent asthma (disorder)
Asthma,7557,1,_asthma,427295004,Moderate persistent asthma (disorder)
Asthma,7557,1,_asthma,427603009,Intermittent asthma (disorder)
Asthma,7557,1,_asthma,427679007,Mild intermittent asthma (disorder)
Asthma,7557,1,_asthma,442025000,Acute exacerbation of chronic asthmatic bronchitis (disorder)
Asthma,7557,1,_asthma,445427006,Seasonal asthma (disorder)
Asthma,7557,1,_asthma,703953004,Allergic asthma caused by Dermatophagoides pteronyssinus (disorder)
Asthma,7557,1,_asthma,703953004,Allergic asthma due to Dermatophagoides pteronyssinus (disorder)
Asthma,7557,1,_asthma,703954005,Allergic asthma caused by Dermatophagoides farinae (disorder)
Asthma,7557,1,_asthma,703954005,Allergic asthma due to Dermatophagoides farinae (disorder)
Asthma,7557,1,_asthma,707444001,Uncomplicated asthma (disorder)
Asthma,7557,1,_asthma,707445000,Exacerbation of mild persistent asthma (disorder)
Asthma,7557,1,_asthma,707446004,Exacerbation of moderate persistent asthma (disorder)
Asthma,7557,1,_asthma,707447008,Exacerbation of severe persistent asthma (disorder)
Asthma,7557,1,_asthma,707511009,Uncomplicated mild persistent asthma (disorder)
Asthma,7557,1,_asthma,707512002,Uncomplicated moderate persistent asthma (disorder)
Asthma,7557,1,_asthma,707513007,Uncomplicated severe persistent asthma (disorder)
Asthma,7557,1,_asthma,707979007,Acute severe exacerbation of severe persistent asthma (disorder)
Asthma,7557,1,_asthma,707980005,Acute severe exacerbation of moderate persistent asthma (disorder)
Asthma,7557,1,_asthma,707981009,Acute severe exacerbation of mild persistent asthma (disorder)
Asthma,7557,1,_asthma,708038006,Acute exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,708090002,Acute severe exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,708093000,Acute exacerbation of extrinsic asthma (disorder)
Asthma,7557,1,_asthma,708093000,Acute exacerbation of immunoglobulin E-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,708094006,Acute exacerbation of intrinsic asthma (disorder)
Asthma,7557,1,_asthma,708095007,Acute severe exacerbation of extrinsic asthma (disorder)
Asthma,7557,1,_asthma,708095007,Acute severe exacerbation of immunoglobin E-mediated allergic asthma (disorder)
Asthma,7557,1,_asthma,708096008,Acute severe exacerbation of intrinsic asthma (disorder)
Asthma,7557,1,_asthma,733858005,Acute severe refractory exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,734904007,Life threatening acute exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,734905008,Moderate acute exacerbation of asthma (disorder)
Asthma,7557,1,_asthma,735587000,Acute severe exacerbation of asthma co-occurrent and due to allergic asthma (disorder)
Asthma,7557,1,_asthma,735588005,Uncomplicated allergic asthma (disorder)
Asthma,7557,1,_asthma,735589002,Uncomplicated non-allergic asthma (disorder)
Asthma,7557,1,_asthma,762521001,Exacerbation of allergic asthma (disorder)
Asthma,7557,1,_asthma,782513000,Acute severe exacerbation of allergic asthma (disorder)
Asthma,7557,1,_asthma,782520007,Exacerbation of allergic asthma due to infection (disorder)
Asthma,7557,1,_asthma,786836003,Near fatal asthma (disorder)
Asthma,7557,1,_asthma,401000119107,Asthma with irreversible airway obstruction (disorder)
Asthma,7557,1,_asthma,1741000119102,Intermittent asthma uncontrolled (disorder)
Asthma,7557,1,_asthma,1751000119100,Acute exacerbation of chronic obstructive airways disease with asthma (disorder)
Asthma,7557,1,_asthma,1761000119103,Chronic obstructive airway disease with asthma (disorder)
Asthma,7557,1,_asthma,72301000119103,Asthma in pregnancy (disorder)
Asthma,7557,1,_asthma,99031000119107,Acute exacerbation of asthma co-occurrent with allergic rhinitis (disorder)
Asthma,7557,1,_asthma,103781000119103,Allergic bronchopulmonary mycosis (disorder)
Asthma,7557,1,_asthma,124991000119109,Severe persistent asthma co-occurrent with allergic rhinitis (disorder)
Asthma,7557,1,_asthma,125001000119103,Moderate persistent asthma co-occurrent with allergic rhinitis (disorder)
Asthma,7557,1,_asthma,125011000119100,Mild persistent asthma co-occurrent with allergic rhinitis (disorder)
Asthma,7557,1,_asthma,125021000119107,Intermittent asthma co-occurrent with allergic rhinitis (disorder)
Asthma,7557,1,_asthma,135171000119106,Acute exacerbation of moderate persistent asthma (disorder)
Asthma,7557,1,_asthma,135181000119109,Acute exacerbation of mild persistent asthma (disorder)
Asthma,7557,1,_asthma,165621000000103,Brittle asthma
Asthma,7557,1,_asthma,186071000000103,Occupational asthma
Asthma,7557,1,_asthma,186081000000101,Work aggravated asthma
Asthma,7557,1,_asthma,189511000000105,Occupational asthma
Asthma,7557,1,_asthma,189521000000104,Work aggravated asthma
Asthma,7557,1,_asthma,644281000000107,Allergic asthma NEC
Asthma,7557,1,_asthma,644281000000107,Allergic asthma NEC (disorder)
